# written by /home/mroughan/Reports/Networking/Topology/Waxman/Matlab/Estimation/G.m (Matlab version 0.03)
# written on 01-Jun-2016
# 
# parameters 
#    region = unit square
# format:   s,   G(s)
 1.014,  0.607929
 1.015,  0.607649
 1.016,  0.607369
 1.017,  0.607089
 1.018,  0.606809
 1.019,  0.606530
 1.020,  0.606251
 1.021,  0.605971
 1.022,  0.605692
 1.023,  0.605414
 1.024,  0.605135
 1.025,  0.604856
 1.026,  0.604578
 1.027,  0.604300
 1.028,  0.604022
 1.029,  0.603744
 1.030,  0.603466
 1.031,  0.603189
 1.032,  0.602912
 1.033,  0.602634
 1.034,  0.602357
 1.035,  0.602080
 1.036,  0.601804
 1.037,  0.601527
 1.038,  0.601251
 1.039,  0.600975
 1.040,  0.600699
 1.041,  0.600423
 1.042,  0.600147
 1.043,  0.599871
 1.044,  0.599596
 1.045,  0.599321
 1.046,  0.599046
 1.047,  0.598771
 1.048,  0.598496
 1.049,  0.598221
 1.050,  0.597947
 1.051,  0.597672
 1.052,  0.597398
 1.053,  0.597124
 1.054,  0.596850
 1.055,  0.596577
 1.056,  0.596303
 1.057,  0.596030
 1.058,  0.595757
 1.059,  0.595484
 1.060,  0.595211
 1.061,  0.594938
 1.062,  0.594666
 1.063,  0.594393
 1.064,  0.594121
 1.065,  0.593849
 1.066,  0.593577
 1.067,  0.593305
 1.068,  0.593034
 1.069,  0.592762
 1.070,  0.592491
 1.071,  0.592220
 1.072,  0.591949
 1.073,  0.591678
 1.074,  0.591408
 1.075,  0.591137
 1.076,  0.590867
 1.077,  0.590597
 1.078,  0.590327
 1.079,  0.590057
 1.080,  0.589787
 1.081,  0.589517
 1.082,  0.589248
 1.083,  0.588979
 1.084,  0.588710
 1.085,  0.588441
 1.086,  0.588172
 1.087,  0.587903
 1.088,  0.587635
 1.089,  0.587367
 1.090,  0.587099
 1.091,  0.586831
 1.092,  0.586563
 1.093,  0.586295
 1.094,  0.586028
 1.095,  0.585760
 1.096,  0.585493
 1.097,  0.585226
 1.098,  0.584959
 1.099,  0.584692
 1.100,  0.584426
 1.101,  0.584159
 1.102,  0.583893
 1.103,  0.583627
 1.104,  0.583361
 1.105,  0.583095
 1.106,  0.582830
 1.107,  0.582564
 1.108,  0.582299
 1.109,  0.582034
 1.110,  0.581769
 1.111,  0.581504
 1.112,  0.581239
 1.113,  0.580974
 1.114,  0.580710
 1.115,  0.580446
 1.116,  0.580182
 1.117,  0.579918
 1.118,  0.579654
 1.119,  0.579390
 1.120,  0.579127
 1.121,  0.578863
 1.122,  0.578600
 1.123,  0.578337
 1.124,  0.578074
 1.125,  0.577811
 1.126,  0.577549
 1.127,  0.577286
 1.128,  0.577024
 1.129,  0.576762
 1.130,  0.576500
 1.131,  0.576238
 1.132,  0.575976
 1.133,  0.575715
 1.134,  0.575454
 1.135,  0.575192
 1.136,  0.574931
 1.137,  0.574670
 1.138,  0.574410
 1.139,  0.574149
 1.140,  0.573888
 1.141,  0.573628
 1.142,  0.573368
 1.143,  0.573108
 1.144,  0.572848
 1.145,  0.572588
 1.146,  0.572329
 1.147,  0.572069
 1.148,  0.571810
 1.149,  0.571551
 1.150,  0.571292
 1.151,  0.571033
 1.152,  0.570775
 1.153,  0.570516
 1.154,  0.570258
 1.155,  0.570000
 1.156,  0.569741
 1.157,  0.569484
 1.158,  0.569226
 1.159,  0.568968
 1.160,  0.568711
 1.161,  0.568453
 1.162,  0.568196
 1.163,  0.567939
 1.164,  0.567682
 1.165,  0.567426
 1.166,  0.567169
 1.167,  0.566913
 1.168,  0.566656
 1.169,  0.566400
 1.170,  0.566144
 1.171,  0.565888
 1.172,  0.565633
 1.173,  0.565377
 1.174,  0.565122
 1.175,  0.564866
 1.176,  0.564611
 1.177,  0.564356
 1.178,  0.564102
 1.179,  0.563847
 1.180,  0.563592
 1.181,  0.563338
 1.182,  0.563084
 1.183,  0.562830
 1.184,  0.562576
 1.185,  0.562322
 1.186,  0.562068
 1.187,  0.561815
 1.188,  0.561561
 1.189,  0.561308
 1.190,  0.561055
 1.191,  0.560802
 1.192,  0.560550
 1.193,  0.560297
 1.194,  0.560044
 1.195,  0.559792
 1.196,  0.559540
 1.197,  0.559288
 1.198,  0.559036
 1.199,  0.558784
 1.200,  0.558533
 1.201,  0.558281
 1.202,  0.558030
 1.203,  0.557779
 1.204,  0.557528
 1.205,  0.557277
 1.206,  0.557026
 1.207,  0.556776
 1.208,  0.556525
 1.209,  0.556275
 1.210,  0.556025
 1.211,  0.555775
 1.212,  0.555525
 1.213,  0.555275
 1.214,  0.555026
 1.215,  0.554776
 1.216,  0.554527
 1.217,  0.554278
 1.218,  0.554029
 1.219,  0.553780
